Designator,Footprint,Quantity,Value,LCSC Part #
"12V, 3V3, 5V, D4, D5, D6, D7",0603,7,LED,
C1,0603,1,0.33μF,
C2,0603,1,2.2μF,
C3,1206,1,10μF,
"D8, D9",MA10EB045,2,D,
F1,3557-15_KEY,1,3557-15,
J1,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,1,DC2_OUT,
J12,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,to_MUX,
J13,SolderWirePad_1x01_SMD_3x6mm,1,to_OKL-T/6-W12N-C,
J14,SolderWirePad_1x01_SMD_3x6mm,1,from_OKL-T/6-W12N-C,
J15,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Conn_01x02_Pin,
J2,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,POWER,
J3,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,1,DC1_OUT,
J4,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,to_COLOR,
J5,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,1,DC3_OUT,
J6,PinHeader_1x03_P2.54mm_Vertical,1,to_SERVO1,
J7,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,1,DC4_OUT,
J8,PinHeader_1x03_P2.54mm_Vertical,1,to_SERVO2,
J9,NS-Tech_Grove_1x04_P2mm_Vertical,1,to_CAM,
POW,1P2T_toggle,1,POW,
"R1, R2, R3, R4, R5, R6, R7, R8, R9",0603,9,R,
"TACT1, TACT2",SW_PUSH_6mm_H7.3mm,2,SW_Push,
"TP1, TP2",TestPoint_Pad_2.0x2.0mm,2,TestPoint,
U2,RP2040,1,RP2040,
"U3, U5, U6, U7",AE-TB67H450,4,TB67H450,
U4,TO-252-3_TabPin2,1,3-Terminal Regulator,
U8,BNO055,1,BNO055,
