Designator,Mid X,Mid Y,Rotation,Layer
12V,145.675,-81.9,180.0,top
3V3,145.6,-87.5,180.0,top
5V,145.6,-84.91,180.0,top
C1,151.9,-101.1375,270.0,top
C2,156.6,-101.0375,270.0,top
C3,158.245,-66.605,270.0,top
D4,145.7925,-94.4,180.0,top
D5,146.025,-97.2,180.0,top
D6,146.125,-99.43,180.0,top
D7,145.7925,-102.02,180.0,top
D8,145.575,-90.7,180.0,bottom
D9,153.1,-82.8,0.0,top
F1,140.9056,-62.5,0.0,top
J1,106.9625,-83.9,0.0,top
J12,187.8,-98.7,270.0,top
J15,114.8,-114.7,0.0,top
J2,123.1,-61.9,0.0,top
J3,106.8125,-69.425,0.0,top
J4,188.0,-71.9,270.0,top
J5,106.8625,-94.675,0.0,top
J6,181.8,-111.2,180.0,top
J7,106.7125,-106.875,0.0,top
J8,177.75,-111.19,180.0,top
J9,187.35,-85.55,0.0,top
POW,151.0,-75.85,90.0,top
R1,141.0875,-82.41,0.0,top
R2,141.0875,-84.92,0.0,top
R3,141.0875,-87.43,0.0,top
R4,141.1875,-94.39,0.0,top
R5,141.1875,-96.9,0.0,top
R6,141.1875,-99.41,0.0,top
R7,141.1875,-101.92,0.0,top
R8,154.3,-105.8,180.0,top
R9,146.2,-105.7,180.0,top
TACT1,154.45,-112.75,90.0,top
TACT2,146.2,-112.8,90.0,top
U2,171.0,-81.07,0.0,top
U3,125.59,-70.8,180.0,top
U4,153.65,-90.0,90.0,top
U5,126.225,-84.1,180.0,top
U6,126.17,-94.1,180.0,top
U7,126.31,-102.1,180.0,top
U8,166.22,-110.99,180.0,top
